Vendor Name,Primary Phone,Fax,Address,City,State,Zip,Preferred,Electronic
AUTO TEK DIAGNOSTICS - 15678,(323) 404-6398,N/A,7857 SAUSALITO AVE,WEST HILLS,CA,91304,FALSE, 
AUTONATION - 15678,(661) 284-6625,N/A,23551 MAGIC MOUNTAIN PKWY,VALENCIA,CA,91355,FALSE, 
Autozone - 15678,(805) 583-4877,N/A,2375 Sycamore #D,Simi Valley,CA,93063,FALSE, 
AVILA'S AUTO REPAIR - 15678,(805) 210-5920,N/A,1842 E LOS ANGELES AVE #B3,SIMI VALLEY,CA,93065,FALSE, 
Basic Auto parts - 15678,(323) 585-5505,N/A,5537 Bandera st,Los Angeles,CA,90058,FALSE, 
Bells Auto Parts - 15678,(818) 767-7197,N/A,8777 San Fernando RD,Sun Valley,CA,91352,FALSE, 
BELLS AUTO PARTS AND WRECKING - 15678,(818) 767-7197,N/A,8777 SAN FERNANDO RD.,SUN VALLEY,CA,91352,FALSE, 
Best Autolite Disstributors - 15678,(239) 225-0733,N/A,7426 Cherry ave,Fontana,CA,92336,FALSE,Electronic
BEST CHOICE AUTO PARTS - 15678,(626) 531-7130,N/A,797 ALPHA ST,DUARTE,CA,91010,FALSE, 
BG PETROSPECS DISTRIBUTING INC. - 15678,(805) 498-4546,N/A,3301 GRANDE VISTA DR.,NEWBURY PARK,CA,91320,FALSE, 
BIG BRAND - 15678,(805) 465-8800,N/A,983 E.EASY STREET,SIMI VALLEY,CA,93065,FALSE, 
BILL SMITH AUTO PARTS - 15678,(217) 367-5090,N/A,3405 COUNTRYVIEW RD,URBANA,IL,61802,FALSE, 
BK AUTO WRECKING - 15678,(562) 630-5223,N/A,14134 GARFIELD AVE,PARAMOUNT,CA,90723,FALSE, 
BK Honda - 15678,(805) 581-1671,N/A,2150 Agate St,Simi Valley,CA,93065,FALSE, 
BLACKBURNOEMWHEELSOLUTIONS - 15678,(800) 981-8321,N/A,1001 PASTER COURT,MACEDONIA,OH,44056,FALSE, 
Blessed Towing - 15678,(818) 400-0116,N/A,n/a,Simi Valley,CA,93062,FALSE, 
BOB COSLETT CUSTOM PINSTRIPING - 15678,(805) 341-1553,N/A,MOBILE,SIMI VALLEY,CA,93065,FALSE, 
BOB SMITH BMW - 15678,(818) 340-9640,N/A,',Calabasas,CA,91302,TRUE, 
BONEYARD AUTO PARTS - 15678,(310) 327-2950,N/A,440 EAST REDONDO BEACH BLVD,GARDENA,CA,92065,FALSE, 
BORLA PERFORMANCE - 15678,(423) 979-4000,N/A,500 BORLA DRIVE,JOHNSON CITY,TN,37604,FALSE, 
BROCK SUPPLY ARIZONA - 15678,(800) 528-4400,N/A,2150  E RIO SALADO,TEMPE,AZ,85281,FALSE,Electronic
BRUCAR LOCKSMITH - 15678,(805) 241-0777,N/A,355 E AVENIDA DE LOS,THOUSAND OAKS,CA,91360,FALSE, 
BUMPER 2 BUMPER - 15678,(818) 889-6587,N/A,31143 VIA COLINAS,WESTLAKE VILLAGE,CA,91362,FALSE, 
C&C SERVICES - 15678,(818) 220-3842,N/A,8220 SHIRLEY AVE,RESEDA,CA,91335,FALSE, 
CALIFNORNIA MINI TRUCKING - 15678,(909) 622-1381,N/A,4002 STATE,MONTCLAIR,CA,91763,FALSE, 
Camacho Mitsubishi - 15678,(661) 945-2600,N/A,401Auto Vista Dr,palmdale,CA,93551,FALSE, 
CAMARILLO TOWING - 15678,(805) 388-1185,N/A,372 DAWSON DRIVE,CAMARILLO,CA,93012,FALSE, 
CANOGA HUB CAP - 15678,(818) 716-7735,N/A,7801 CANOGA AVENUE,CANOGA PARK,CA,91304,FALSE, 
Car Pros El Monte Honda - 15678,(555) 555-5555,N/A,1 b,ANYTOWN,CA,55555,FALSE, 
CAR PROS GLENDALE - 15678,(818) 745-1103,N/A,400 S. BRAND BLVD.,GLENDALE,CA,91204,FALSE, 
CarID.com - 15678,(800) 505-3274,N/A,1 Corporate Drive,Cranbury,NJ,08512,FALSE, 
CELL ENERGY - 15678,(805) 527-2288,N/A,4268 LOS ANGELES AVE,SIMI VALLEY,CA,93063,FALSE, 
CENTER ACURA - 15678,(818) 782-1120,N/A,.,VAN NUYS,CA,91401,FALSE, 
CENTER BMW - 15678,(818) 990-9518,N/A,5230 VAN NUYS BLVD,SHERMAN OAKS,CA,91401,FALSE, 
CGS MOBILE WINDOW TINTING - 15678,(818) 312-0562,N/A,PO BOX 940781,SIMI VALLEY,CA,93094,FALSE, 
CHAMPIONSHIP MUFFLER - 15678,(805) 522-7620,N/A,1842 E LOS ANGELES AVE,SIMI VALLEY,CA,93065,FALSE, 
Cherry Auto Parts - 15678,(818) 767-0047,N/A,11911 Sheldon Street,Sun Valley,CA,91352,FALSE, 
CITY AUTO BODY (IN-HOUSE) - 15678,(805) 581-1671,N/A,2150 AGATE CT,SIMI VALLEY,CA,93065,FALSE, 
CJ PONY PARTS - 15678,(717) 657-9252,N/A,7461 ALLENTOWN BLVD,HARRISBURG,PA,17112,FALSE, 
CLIPS PLUS - 15678,(805) 210-0630,N/A,n.a,SIMI VALLEY,CA,93065,FALSE, 
CLS AUTOPARTS - 15678,(818) 767-0047,N/A,11911 SHELDON ST,SUN VALLEY,CA,91352,FALSE, 
Collision Stone Guard - 15678,(608) 534-5211,N/A,W 22191 11th Street,Trempealeau,WI,54661,FALSE,Electronic
COMMERCIAL RADIATOR SERVICE - 15678,(805) 527-3332,N/A,864 E LOS ANGELES AVE,SIMI VALLEY,CA,93065,FALSE, 
Completes Plus A/M - 15678,(888) 500-6557,N/A,15912 HAWTHORNE BLVD.,LAWNDALE,CA,90260,FALSE, 
costco - 15678,(180) 558-1167 x1,N/A,2150 AGATE CT.,Simi Valley,CA,93065,FALSE, 
Crossroads Auto Dismantling - 15678,(877) 232-6737,N/A,12421 Riverside Dr.,Eastvale,CA,91752,FALSE, 
CROWN DODGE CHRYSLER JEEP - 15678,(805) 656-0825,N/A,6300 KING STREET,VENTURA,CA,93003,FALSE, 
Crown Dodge Chrysler Jeep RAM - 15678,(555) 555-5555,N/A,6300 King Dr.,Ventura,CA,93003,TRUE, 
CRYSTAL AUTO INC. - 15678,(818) 899-5600,N/A,12281 BRANFORD ST,SUN VALLEY,CA,91352,FALSE,Electronic
CULVER CITY - 15678,(310) 341-4721,N/A,11215 W. WASHINGTON BLVD,CULVER CITY,CA,90230,FALSE, 
D WRAPS - 15678,(805) 507-9300,N/A,155 E EASY ST,SIMI VALLEY,CA,93065,FALSE, 
Daco Truck&Van - 15678,(818) 892-8327,N/A,8454 Sepulveda Blvd.,North Hills,CA,91343,FALSE, 
DANGELOS AUTOMOTIVE & IND COATING - 15678,(805) 587-2788,N/A,1114 INDUSTRIAL AVENUE,OXNARD,CA,93030,FALSE, 
Dave Kerr - 15678,(805) 581-1671,N/A,2150 Agate Court,"Simi Valley,",CA,93065,FALSE, 
DAVES TOWING SERVICE - 15678,(805) 526-4221,N/A,890 WEST LOS ANGELES AVE.,SIMI VALLEY,CA,93065,FALSE, 
DCD CUSTOMS - 15678,(818) 838-1100,N/A,9520 De Soto Ave,Chatsworth,CA,91311,FALSE, 
DCH FORD OF THOUSAND OAKS - 15678,(805) 497-2711,N/A,.,Thousand Oaks,CA,91362,FALSE, 
DCH HONDA - 15678,(805) 204-4787,N/A,1500 E VENTURA BLVD,OXNARD,CA,93036,FALSE, 
DCH LEXUS OF OXNARD - 15678,(805) 988-8500,N/A,1640 AUTO CENTER DRIVE,OXNARD,CA,93036,FALSE, 
DCH Subaru of Thousand Oaks - 15678,(805) 379-4490,N/A,3725 AUTO MALL DR,THOUSAND OAKS,CA,91362,TRUE, 
Delta 1 Auto Dismantling - 15678,(916) 204-2059,N/A,11450 Elks Circle Suite E,Rancho Cordova,CA,95742,FALSE, 
Dent Krafters - 15678,(111) 111-1111,N/A,P.O. Box 6404,Ventura,CA,93006,FALSE, 
"DENT WIZARD, INC. - 15678",(310) 722-3820,N/A,3867 COLLECTION CENTER DR,CHICAGO,IL,60693,FALSE, 
DEPENDABLE AUTO PARTS - 15678,(920) 563-7363,N/A,N1814 HWY 12,FORT ATKINSON,WI,53538,FALSE, 
DEPENDABLE DODGE - 15678,(818) 348-0143,N/A,21415 ROSCOE BOULEVARD,CANOGA PARK,CA,91304,FALSE, 
DIAMOND - 15678,(661) 947-6000,N/A,39012 CARRIAGE WAY,PALMDALE,CA,93551,FALSE, 
DISCOUNT WINDOW TINTING - 15678,(818) 703-7662,N/A,MOBILE,WOODLAND HILLS,CA,91367,FALSE, 
DONAHUE TRUCK CENTER - 15678,(805) 525-9900,N/A,"11111, SAN",SANTA PAULA,CA,93060,FALSE, 
Door Ding Guy - 15678,(805) 341-6829,N/A,/,Thousand Oaks,CA,91360,FALSE, 
DUKES ROAD SERVICE - 15678,(877) 748-2969,N/A,3500 EAGLE ROCK BLVD,LOS ANGELES,CA,90065,FALSE, 
EBAY - 15678,(999) 999-9999,N/A,.,INTERNET,CA,99999,FALSE, 
Eckharts Trailer Hitch - 15678,(805) 379-4395,N/A,.,Thousand Oaks,CA,91362,FALSE, 
EDDIES TOWING - 15678,(805) 499-1492,N/A,2456 TELLER ROAD,NEWBURY PARK,CA,91320,FALSE, 
ELITE EURO PARTS - 15678,(805) 888-0044 x805,N/A,"7955 Haskell Ave, #12",Van Nuys,CA,91406,FALSE,Electronic
ELITEK - 15678,(888) 988-8888 x88888888,N/A,1910 Crown RD,Framers Branch,TX,75234,FALSE, 
ENTERPRISE RENT A CAR - 15678,(805) 522-4001,N/A,764 E LOS ANGELES AVE,SIMI VALLEY,CA,93065,FALSE, 
ETRAILER - 15678,(636) 887-9300,N/A,1507 E. HIGHWAY A,WENTZVILLE,MO,63385,FALSE, 
EXCLUSIVE AUTO GRAPHICS - 15678,(661) 904-0477,N/A,3736 CORY AVE,ACTON,CA,96510,FALSE, 
FAST SIGNS - 15678,(805) 527-9491,N/A,480 EAST EASY STREET #3,SIMI VALLEY,CA,93085,FALSE, 
FAST UNDER CAR - 15678,(805) 498-3410,N/A,3701 OLD CONEJO RD,NEWBURY PARK,CA,91320,FALSE, 
FIAT OF GLENDALE - 15678,(818) 242-4161,N/A,900 SOUTH BRAND BLVD,GLENDALE,CA,91204,FALSE, 
FINDPIGTAILS.COM - 15678,(844) 255-5899,N/A,9215 THOMASVILLE DR,HOUSTON,TX,77064,FALSE, 
Frigiking - 15678,(805) 527-6121,N/A,864 E Los Angeles,Simi Valley,CA,93065,FALSE, 
FULFILMENT WAREHOUSE - 15678,(555) 555-5555,N/A,761 PROGRESS WAY,LA SALLE,IL,61301,FALSE, 
Full Impact Technologies - 15678,(111) 111-1111,N/A,5441 Nassau Cir E,Englewood,CO,80113,FALSE,Electronic
Function Factory - 15678,(480) 576-8606,N/A,..,Simi Valley,CA,93062,FALSE, 
GALPIN HONDA - 15678,(818) 778-2005,N/A,11151 Laurel Canyon Blvd.,San Fernando,CA,91340,TRUE,Electronic
GALPIN MOTOR - 15678,(818) 922-3775,N/A,15505 ROSCOE BLVD,NORTH HILLS,CA,91343,FALSE, 
GASOLINE - 15678,(555) 555-5555,N/A,11111,SIMI VALLEY,CA,93065,FALSE, 
Genesis of Westlake Village - 15678,(805) 418-9092,N/A,1,Thousand Oaks,CA,91362,FALSE, 
GERMAN AUTO PARTS DEPOT - 15678,(818) 787-2010,N/A,7341 ATOLL AVE,NORTH HOLLYWOOD,CA,91605,FALSE, 
GERMAN AUTO SPECIALIST - 15678,(805) 522-5338,N/A,2180 1ST ST,SIMI VALEY,CA,93065,FALSE, 
Get Part LA INC - 15678,(424) 331-9599,N/A,13705 Cimarron,Gardena,CA,90249,FALSE, 
GHOST SHIELD - 15678,(805) 402-8298,N/A,1168 TOURMALINE DR,NEWBURY PARK,CA,91320,FALSE, 
Gibson Performance Motorsports - 15678,(951) 372-1220,N/A,1270 Webb Circle,Corona,CA,92879,FALSE, 
Glendale Infiniti - 15678,(818) 696-9311,N/A,812 South Brand,glendale,CA,91204,FALSE, 
GLENDALE KIA - 15678,(818) 745-1103,N/A,400 S BRAND BLVD.,GLENDALE,CA,91204,FALSE, 
GLT SIGNS - 15678,(925) 229-5411,N/A,411 FERRY ST,MARTINEZ,CA,94553,FALSE, 
Go Parts - 15678,(844) 321-7278,N/A,8076 Niven Ct,Sacramento,CA,95829,FALSE,Electronic
GOLD COAST ACURA - 15678,(805) 642-9042,N/A,3195 Perkin Ave,Ventura,CA,93003,TRUE,Electronic
GRAND AMERICAN TIRES - 15678,(805) 527-1515,N/A,1806 LOS ANGELES AVENUE,SIMI VALLEY,CA,93065,FALSE, 
Green Auto Parts & Recycling - 15678,(818) 767-7197,N/A,8777 San Fernando rd.,Sun Valley,CA,91352,FALSE, 
GREEN LIGHT USED AUTO PARTS - 15678,(818) 504-1111,N/A,10975 TUXFORD ST.,SUN VALLEY,CA,91352,FALSE, 
H&H Wholesale Parts - 15678,(818) 771-0926,N/A,12860 Muscatine St,Simi Valley,CA,91331,FALSE, 
HAMER HONDA - 15678,(818) 609-7441,N/A,1,RESEDA,CA,91335,FALSE, 
HAMER TOYOTA - 15678,(818) 365-9621,N/A,11041 SEPULVEDA BLVD,MISSION HILLS,CA,91345,FALSE, 
Harbor Freight - 15678,(805) 582-1410,N/A,999 E Los Angeles Ave,Simi Valley,CA,93065,FALSE, 
Harbor Hyundai Auto Group Chevrolet - 156,(562) 424-8161,(562) 424-8161,CHERRY AVE,LONG BEACH,CA,90807,FALSE, 
HAROUTS - 15678,(818) 896-2622,N/A,12301 BRANFORD ST,SUN VALLEY,CA,91352,FALSE, 
HEADLAMPS OF AMERICA - 15678,(888) 760-1296,N/A,PO BOX 7775,SAN FRANCISVO,CA,94120,FALSE,Electronic
HEADLIGHTS DEPOT - 15678,(800) 656-9551,N/A,"2201 N  ANDREWS AVE, STE 105",POMPANO BEACH,FL,33069,FALSE,Electronic
HERTZ - 15678,(805) 527-1477,N/A,1030 E LOS ANGELES AVE,SIMI VALLEY,CA,93065,FALSE, 
HF Auto Parts - 15678,(818) 834-2000,(855) 831-6666,11975 Branford St.,Sun Valley,CA,91352,FALSE, 
HI-TECH AUTO & TIRE CENTER - 15678,(805) 529-8800,N/A,13806 PRINCETON AVE,MOORPARK,CA,93021,FALSE, 
HIWAY AUTO - 15678,(909) 887-9332,N/A,5401 INDUSTRIAL PARKWAY,SAN BERNARDINO,CA,92407,FALSE, 
Holden Parts USA - 15678,(555) 555-5555,N/A,Industry Dr,Castaic,CA,91384,FALSE, 
HONDA FOREIGN AUTO PARTS - 15678,(818) 834-2000,N/A,11975 BRANFORD ST.,SUN VALLEY,CA,91352,FALSE, 
HONDA LANCASTER - 15678,(661) 945-3521,N/A,43244 DRIVERS WAY,LANCASTER,CA,93534,FALSE, 
Honda of Thousand Oaks - 15678,(805) 371-5500,N/A,3925 Auto Mall Dr,Thousand Oaks,CA,91362,TRUE, 
Honda Parts Connection - 15678,(866) 587-1233,N/A,300 Gadsden Highway,Birmingham,AL,35235,FALSE, 
HOOPERS - 15678,(818) 899-2515,N/A,12201 Branford St,SUN VALLEY,CA,91352,FALSE, 
HotCarAccessories.com - 15678,(352) 688-8160,N/A,13721 Linden Drive,Spring Hill,FL,34609,FALSE, 
HOWDY AUTO DISMANTLER - 15678,(310) 816-0679,N/A,1018 ALAMEDA ST,WILMINGTON,CA,90744,FALSE, 
Hybrid Auto Parts - 15678,(818) 293-9630,N/A,9787 Glen Oaks Blvd,Sun Valley,CA,91352,FALSE, 
Imperial Auto - 15678,(818) 205-8418,N/A,10656 Wilsey Ave,Tujunga,CA,91042,FALSE, 
Indoor Comfort Solutions - 15678,(805) 583-0084,N/A,1566 Mayfair St,Simi Valley,CA,93065,FALSE, 
INFINITI OF THOUSAND OAKS - 15678,(805) 230-8261,N/A,1,THOUSAND OAKS,CA,91362,TRUE, 
IPART AUTOMOTIVE - 15678,(909) 587-6059,N/A,14975 HILTON DR,FONTANA,CA,92336,FALSE,Electronic
IPart Automotive 1 - 15678,(909) 587-6059,N/A,14975 Hilton Dr,Fontana,CA,92336,FALSE,Electronic
Irvine BMW - 15678,(949) 380-4100,N/A,9881 Research Drive,Irvine,CA,92618,FALSE, 
JAGAUAR LAND ROVER VENTURA - 15678,(805) 654-0100,N/A,3190 PERKIN AVENUE,VENTURA,CA,93003,FALSE, 
JAGUAR LAND ROVER THOUSAND OAKS - 15678,(805) 267-3600,N/A,3601 AUTO MALL DRIVE,THOUSAND OAKS,CA,91362,FALSE, 
JANTE wheel - 15678,(865) 444-6750,N/A,228 DUNAVANT DRIVE,ROCKFORD TN,CA,37053,FALSE, 
Jim's Tire Center - 15678,(805) 581-1104,N/A,1525 Los Angeles Ave,Simi Valley,CA,93065,FALSE, 
Jim’s Fillmore Towing - 15678,(000) 000-0000,N/A,N/a,n/a,CA,00000,FALSE, 
JMP AUTOWERKZ - 15678,(818) 457-4967,N/A,7259 DEERING AVE,SIMI VALLEY,CA,93065,FALSE, 
JP Auto 2,(000) 000-0000,N/A,20 Haypress Rd,Cranbury,NJ,08512,FALSE,Electronic
K & P AUTO DISMANTLERS - 15678,(909) 428-6898,N/A,15295 WHITTRAM AVE.,FONTANA,CA,92335,FALSE, 
Kent Automotive - 15678,(847) 827-9666,N/A,8770 W. Bryn Mawr,Chicago,IL,60631,FALSE, 
KENT AUTOMOTIVE 1 - 15678,(847) 827-9666,N/A,P.O. BOX 809401,CHICAGO,IL,60680,FALSE, 
KEYES AUDI - 15678,(818) 907-4482,N/A,.,VAN NUYS,CA,91401,TRUE, 
KEYES HYUNDAI - 15678,(818) 926-4574,N/A,/,VAN NUYS,CA,91401,FALSE, 
KEYES LEXUS (Lithia) - 15678,(818) 379-6700,N/A,.,VAN NUYS,CA,91401,TRUE, 
KEYES TOYOTA - 15678,(818) 782-0122,N/A,.,VAN NUYS,CA,91401,TRUE, 
Keystone - Complete - Santa Fe Springs - 3,(800) 243-4340,N/A,1 b,ANYTOWN,CA,55555,TRUE,Electronic
KIA of Irvine - 15678,(949) 777-2300,N/A,45 oldfield,irvine,CA,92618,FALSE, 
KIA OF VENTURA - 15678,(805) 644-2241,N/A,6424 Auto Center Dr.,Ventura,CA,93003,FALSE, 
Kirby Subaru of Ventura - 15678,(805) 641-2787,N/A,6404 Auto Center Dr.,Ventura,CA,93003,TRUE, 
KNA Racing - 15678,(408) 823-0677,N/A,102 N1st,Williams,AZ,86046,FALSE, 
LA Auto Gallery - 15678,(818) 449-6537,N/A,.,Van Nuys,CA,91401,FALSE, 
LAND ROVER ENCINO - 15678,(818) 861-9021,N/A,15800 VENTURA BLVD,ENCINO,CA,91436,FALSE, 
LATE MODEL RESTORATION - 15678,(180) 558-1167 x1,N/A,2150 AGATE CT.,Simi Valley,CA,93065,FALSE, 
LEXUS OF THOUSAND OAKS - 15678,(805) 267-3400,N/A,3755 AUTO MALL DR,THOUSAND OAKS,CA,91362,FALSE, 
LEXUS OF WOODLAND HILLS - 15678,(818) 444-9700,N/A,21701 VENTURA BOULEVARD,WOODLAND HILLS,AL,91364,FALSE, 
LIN'S AUTO DISMANTLING - 15678,(323) 224-1716,N/A,5166 ALHAMBRA AVE,LOS ANGELES,CA,90032,FALSE, 
LINE-X - 15678,(818) 299-8850,(805) 299-8850,2296 AGATE COURT,SIMI VALLEY,CA,93065,FALSE, 
LKQ - 15678,(800) 525-3667 x5272,N/A,500 West Madison Street,Chicago,IL,60661,TRUE, 
LKQ Corp 70,(000) 000-0000 x0000,N/A,500 West Madison Street,Chicago,IL,60661,FALSE,Electronic
M&L Wheels and Bumpers - 15678,(805) 581-1671,N/A,3392 ALMA AVE,LYNWOOD,CA,90262,FALSE, 
MAGIC MUFFLER - 15678,(805) 526-0792,N/A,886 E LOS ANGELES AVE,SIMI VALLEY,CA,93065,FALSE, 
Major League Towing - 15678,(747) 270-0278,N/A,6947 Lankershim Blvd,North Hollywood,CA,91605,FALSE, 
Martin Auto Color - 15678,(805) 526-3882,N/A,954 Chambers Lane,Simi Valley,CA,93065,FALSE, 
Martin Distributors - 15678,(818) 262-5002,N/A,1237 S Victoria Ave,Ventura,CA,93035,FALSE, 
MBZ BMW - 15678,(818) 897-9180,N/A,9865 San Fernando Rd,Pacoima,CA,91331,FALSE, 
MERCEDES BENZ OF VALENCIA - 15678,(661) 753-5555,N/A,23355 VALENCIA BLVD.,SANTA CLARITA,CA,91355,FALSE, 
MERCEDES OF THOUSAND OAKS - 15678,(805) 371-5400,N/A,3905 AUTO MALL DR,THOUSAND OAKS,CA,91362,TRUE, 
Mercedes-Benz of Long Beach - 15678,(562) 988-8303,N/A,2300 East Spring Street,Signal Hill,CA,90755,FALSE, 
Mercedes-Benz of Oxnard - 15678,(805) 604-6500,N/A,1511 Auto Center Drive,Oxnard,CA,93036,FALSE, 
Meyer Distributing - 15678,(800) 639-3787,N/A,560 E. 25th St.,Jasper,IN,47546,FALSE,Electronic
Mid Auto Dismantling - 15678,(310) 835-4966,N/A,725 Watson Ave,Wilmington,CA,90744,FALSE, 
MIKE VENDITTO PIN STRIPE - 15678,(818) 700-9585,N/A,.,CHATSWORTH,CA,91311,FALSE, 
MIKE'S FOREIGN AUTO PARTS - 15678,(310) 549-5282,N/A,921 EAST ANAHEIM STREET,WILMINGTON,CA,90744,FALSE,Electronic
MISSION HILLS NISSAN - 15678,(818) 838-4444,N/A,11000 SEPULVEDA BLVD,MISSION HILLS,CA,91345,FALSE, 
MobilityWorks - 15678,(818) 780-1788,N/A,7720 N. Sepulveda Blvd,Van Nuys,CA,91405,FALSE, 
MOPARPARTSGIANT.COM - 15678,(818) 723-6262,N/A,JIMDCAB@HOTMAIL.COM,2150 AGATE,CA,93065,FALSE, 
MY AUTO WRECKING - 15678,(626) 305-0059,N/A,700 ALPHA STREET,DUARTE,CA,91010,FALSE, 
